Transaction Date,Posting Date,Description,Amount
2023-11-17,2023-11-20,PAYMENT - THANK YOU / PAIEMENT - MERCI,642.64
2023-11-21,2023-11-22,MDBILLING.CA TORONTO ON,-27.35
2023-11-23,2023-11-27,SOCIETY OF RURAL PHYSICIAWWW.SRPC.CA QC,-1261.0
2023-11-30,2023-12-01,BLUELINE TAXI OTTAWA OTTAWA ON,-49.89
2023-12-06,2023-12-07,UBER CANADA/UBERTRIP TORONTO ON,-35.47
2023-12-06,2023-12-07,UBER CANADA/UBERTRIP TORONTO ON,-5.32
