Transaction Date,Posting Date,File,Description,Amount
2023-11-17,2023-11-20,business_visa_single_page.pdf,PAYMENT - THANK YOU / PAIEMENT - MERCI,642.64
2023-11-21,2023-11-22,business_visa_single_page.pdf,MDBILLING.CA TORONTO ON,-27.35
2023-11-23,2023-11-27,business_visa_single_page.pdf,SOCIETY OF RURAL PHYSICIAWWW.SRPC.CA QC,-1261.0
2023-11-30,2023-12-01,business_visa_single_page.pdf,BLUELINE TAXI OTTAWA OTTAWA ON,-49.89
2023-12-06,2023-12-07,business_visa_single_page.pdf,UBER CANADA/UBERTRIP TORONTO ON,-35.47
2023-12-06,2023-12-07,business_visa_single_page.pdf,UBER CANADA/UBERTRIP TORONTO ON,-5.32
